Assists,Demos,Goals,MMR,MVP,MyTeamGoals,OtherTeamGoals,Playlist,Points,Ranked,Saves,Shots,Time,Timestamp,Win
0,0,2,803,0,2,0,Hoops,525,1,2,3,1639749854,15:04:14 12/17/21,1
0,0,2,1010,1,2,0,Doubles,306,1,0,2,1639750070,15:07:50 12/17/21,1
0,0,1,811,0,3,2,Hoops,344,1,1,1,1639750487,15:14:47 12/17/21,1
1,0,1,1484,1,2,1,Winter Breakaway,305,0,0,2,1639751232,15:27:12 12/17/21,1
0,0,3,820,1,4,3,Hoops,630,1,1,6,1639757495,17:11:35 12/17/21,1
0,0,0,822,0,1,3,Hoops,126,1,1,1,1639757931,17:18:51 12/17/21,0
0,0,5,815,0,5,6,Hoops,1062,1,3,8,1639758499,17:28:19 12/17/21,0
1,0,2,806,0,3,5,Hoops,448,1,0,4,1639758976,17:36:16 12/17/21,0
1,0,0,798,0,1,3,Hoops,268,1,2,1,1639759448,17:44:08 12/17/21,0
1,0,0,789,0,2,1,Hoops,244,1,1,3,1639759855,17:50:55 12/17/21,1
0,0,1,790,0,1,0,Hoops,246,1,0,3,1639852955,19:42:35 12/18/21,1
1,0,2,798,0,3,2,Hoops,591,1,0,7,1639853542,19:52:22 12/18/21,1
1,0,3,808,1,4,3,Hoops,707,1,2,7,1639854085,20:01:25 12/18/21,1
0,0,2,817,0,2,4,Hoops,362,1,0,5,1639854532,20:08:52 12/18/21,0
3,0,1,808,0,6,1,Hoops,487,1,1,2,1639939908,19:51:48 12/19/21,1
3,0,0,817,0,3,0,Hoops,273,1,0,2,1639940168,19:56:08 12/19/21,1
0,0,2,827,0,3,0,Hoops,372,1,0,4,1639940454,20:00:54 12/19/21,1
0,0,1,835,0,1,3,Hoops,340,1,1,1,1639940873,20:07:53 12/19/21,0
0,0,1,826,0,6,2,Hoops,401,1,2,5,1639941618,20:20:18 12/19/21,1
0,0,4,835,0,4,3,Hoops,728,1,0,6,1639942088,20:28:08 12/19/21,1
1,0,1,844,0,4,5,Hoops,654,1,3,1,1639942607,20:36:47 12/19/21,0
1,0,2,835,0,4,1,Hoops,392,1,0,4,1639942971,20:42:51 12/19/21,1
2,0,4,844,1,7,3,Hoops,878,1,1,6,1639943457,20:50:57 12/19/21,1
0,0,4,854,0,4,6,Hoops,788,1,2,6,1639943974,20:59:34 12/19/21,0
0,0,0,1019,0,0,4,Doubles,123,1,1,1,1639944286,21:04:46 12/19/21,0
1,0,1,844,0,5,3,Hoops,400,1,0,4,1639946685,21:44:45 12/19/21,1
0,0,2,853,0,6,5,Hoops,518,1,2,4,1639947465,21:57:45 12/19/21,1
0,0,0,862,0,1,0,Hoops,166,1,0,3,1639947917,22:05:17 12/19/21,1
2,0,0,872,0,2,1,Hoops,343,1,1,0,1639948307,22:11:47 12/19/21,1
0,0,0,880,0,2,3,Hoops,179,1,1,1,1639948743,22:19:03 12/19/21,0
0,0,1,871,0,5,6,Hoops,230,1,0,5,1639949281,22:28:01 12/19/21,0
1,0,3,862,0,5,2,Hoops,515,1,0,4,1639950547,22:49:07 12/19/21,1
0,0,4,871,1,4,2,Hoops,771,1,0,12,1639951004,22:56:44 12/19/21,1
